postUrl,comment_text,ownerUsername,date,month
https://www.instagram.com/p/DZMDFzVE-Nt/,Saya tiap bln bayar air 300rb ke atas..tapi air saya jam 5 SD jam 9.30 mati ...PKL 16.00 SD 18.30 mati...kapan hr SDH di laporkan .. Alhamdulillah lancar....kok kambuh lagi airnya spt ini.😢,wennyisnaeni,05/06/2026,June
https://www.instagram.com/p/DZMrDLAzki9/,Astaghfirullah kagak kelar2 weyyyy,metileter,05/06/2026,June
https://www.instagram.com/p/DZMrDLAzki9/,Apakah udh selesai,naqi_imut,05/06/2026,June
https://www.instagram.com/p/DZMrDLAzki9/,"@izzadfarly91 selamat siang kak, mohon maaf atas ketidaknyamannya. mohon menginformasikan nomor pelanggan dan nomor tlpn yg dapat dihubungi melalui DM ya kak.",pdamsuryasembada,05/06/2026,June
https://www.instagram.com/p/DZMrDLAzki9/,Utara kok mati pakkkk,ali_anshori94,05/06/2026,June
https://www.instagram.com/p/DZMDFzVE-Nt/,"Kita selaku konsumen yg sudah ketergantungan dengan jasa anda sebagai Perusahaan Penyedia Air bersih kota surabaya tidak mau tau dengan kemajuan teknologi yang dipakai, taunya kami aliran air dirumah normal, setiap kali buka kran ada air, tapi nyatanya yang saya rasakaan, bahkan hampir 1RW wilayah saya, jam.5 pagi sudah mulai susah air, jm.16 sore hari susah air, terus fungsinya apa dengan yeknologi tersebut, kalo distribusi air ke pelanggan pembiaran/normalisasi perihal Susah Dapat Air, SULIT...!!!",fungkywijaya_fw,05/06/2026,June
https://www.instagram.com/p/DZMDFzVE-Nt/,percuma kalo aliran air ke pelanggan ga normal,chrisred_85,05/06/2026,June
https://www.instagram.com/p/DZTpgwmTdiU/,". Akhir Akhir Ini Air Nya Kadang Keruh. Kadang Nggak ??? Kenapa Yaa. !!! Daerah Semampir , Surabaya Utara. Mohon Di Tindak Lanjuti. Terima Kasih @pdamsuryasembada",masykur_34,08/06/2026,June
https://www.instagram.com/p/DZTpgwmTdiU/,yg di curi apanya. air tiap hari kotor banyak. pasir !!!,bambang_sutjahyo,08/06/2026,June
https://www.instagram.com/p/DZXSgCBT4Yb/,"Kapan lancarnya...tiap hari gangguan.
Padahal udah naik retribusinya",sulkan996,09/06/2026,June
https://www.instagram.com/p/DZXc4BmhtpS/,"Sudah kuduga ,,😮‍💨",harianto_eko94,09/06/2026,June
https://www.instagram.com/p/DZXc4BmhtpS/,Ayo iki sek mati gak ngisi tandonku!!!,taniapsari1,09/06/2026,June
https://www.instagram.com/p/DZXc4BmhtpS/,Tengger,taniapsari1,09/06/2026,June
https://www.instagram.com/p/DZXoHgDz5rz/,"Min, sampai ke daerah kutisari kah dampaknya? Ini tiba2 air di kosan mati min 😢😢",gendhis_ndut,09/06/2026,June
https://www.instagram.com/p/DZXoHgDz5rz/,Gunung Anyar Tambak tepatnya Taman Wiguna Selatan mati dari jam 9 malam. Disini ga ada info tapi kok kena?,kimmi.i86,09/06/2026,June
https://www.instagram.com/p/DZXoHgDz5rz/,"sampe saiki nek bengi sek mati,, pagi air nya kecil ga kuat naik ngisi tandon.. iki wes brp hari cak.. ndandani gak mari2..",barmantop,09/06/2026,June
https://www.instagram.com/p/DZXSgCBT4Yb/,Oalah gangguan kok sering 😭 tagihan naik,fitriamalia383,09/06/2026,June
https://www.instagram.com/p/DZXSgCBT4Yb/,"Sidotopo wetan min, sekarang tidak keluar samsek",izatulmunaaa,09/06/2026,June
https://www.instagram.com/p/DZXSgCBT4Yb/,Alhamdulillah ikan cakalang tidak terdampak min.,defkyff,09/06/2026,June
https://www.instagram.com/p/DZXSgCBT4Yb/,"kasian ikan² nya kalau airnya mengecil, bisa kehabisan nafas dong..😭😭",monicatriaa,09/06/2026,June
