postUrl,comment_text,ownerUsername,date,month
https://www.instagram.com/pdamsuryasembada/p/DTO77_YE5wY/,Area mojorejo mati knp ya?,dapoermamasjoe,08/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTO77_YE5wY/,Buat apa pemeliharaan sistem? Komplain aja dicuekin.,heii_anin,08/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTSQ9Vtk2Cs/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,09/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTSQ9Vtk2Cs/,Lhuk... p.Eko luar biasa.. 👏,catur.birawa,09/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTSQ9Vtk2Cs/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,09/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTSQ9Vtk2Cs/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,09/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTSQ9Vtk2Cs/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,09/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTSQ9Vtk2Cs/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,09/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,"Min, air ditempat saya udh seminggu ngalirnya pelan, seminggu ini kalau pagi mati 3-4 jam an, kalau sore juga sama 3-4 jam an",della.putri13,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,"Saya mau pindah meteran, pembayaran sdh dari tanggal 21 januari. Sampai sekarang kabar saja blm ada, entah kapan dipindah",ha_nina_aja,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Ini harga sewa terbaru tahun 2026 ya.. Soalnya untuk konvensional rumah tangga biasanya 4000. Harusnya kasih keterangan itu kalau memang naik. 😂 @pdamsuryasembada,hendraarzhagit,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Mengenai pengaduan kenapa lama ya kak respondnya.....Sudah laporan pengaduan ke PDAM dari kemaren pagi. Tapi sampai Skrang masih belum ada petugas datang. Ini sudah 1x24 jam kak.  Apa harus laporan ke pusat Tah kak?,_hilyatulauliy4_,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,"Semenjak ganti meteran baru kok tagihan melonjak yaa, padahal dirumah 3 org nih @pdamsuryasembada",tristafid,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,kenapa air susah keluar nunggu di laporin 5 menit baru keluar,fthree_arvi,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Lantas jika pelanggan memilih sewa meter dgn ukuran kecil dan biaya yg murah apakah debit air juga ikut mengecil ya min ?? Tolong pencerahannya dong,lovasuraya,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,GAK POKRO BLAAAAS! cuman goro enek acara haul banyu sak tabak wedi mbok boikot mbok glontorno kabeh nak area pemumikan haul!!!,einando_kusuma,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Untuk rumah tangga. Apa bisa minta pipa yang 1 dim. Rata2 di pasang 1/2,vicky_stray,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,"Bayar telat kena denda ,tp air hidup e g tentu ,",basiliusaris,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Air di dukuh setro XI satu kampung gk lancar kak.. air keluar hanya malam saja.. ini mau saya kirim nomer pelanggang 1 kampung kah kak?,agus_teguh,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Halo min mau tanya kena air di rmh ku jd keruh biasanya jernih 2 hari ini keruh trs kenapa ya min bantu jawab rmh ku di rungkut,selvina_cahaya_ilahi,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,"Di Sidotopo wetan knp kembali lagi kalau siang mati ya padhal 3bulanan sempat 24 jam airnya, pagi jam 5 mati sampe jam 14:00 nyala lagi terus jam 16:00 mati sampai 22:00 baru nyala lagi  pembayaran nya aja naik padahal😢",kopibijikurmaassyifa,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,"Min, please cek DM",dian_puspitorini,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,yeah - it took only three months that the meter air was replaced. And the working style: yeah - it is a great style to leave working material and not cleaning up or throwing the garbage away. But okay. The handwriting on the paper: who should read that? Maybe I should ask a five-grader to translate the handwriting. Please: educate your people. It is unbelievable to deliver such handwriting - a monkey can do it better!,katschisby,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,👏,tama.tjakrindomas,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,Bangga jadi bagian aset Perumda Air Minum Surya Sembada Kota Surabaya😍🔥🔥🔥,pdamsby.properti,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,Mantap luar biasa🔥🔥👍👍👍,darwiyantodarwin,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,"Finally 🔥🔥, kerennn",akmalreyhnth,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,😍😍😍,rahmatsahrul652022,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,10/01/2026,January
