word,frequency
pbb,8
bisa,8
bingung,8
aman,8
suka,8
ktp,8
dark,8
panjang,8
muaro,8
baubau,8
wajar,8
atur,8
tinggal,8
coklat,8
tua,8
mojo,8
keras,8
mas,8
nasional,8
pad,8
kodam,8
segi,6
luas,6
periksa,6
mksh,6
detail,6
waris,6
mampir,6
slow,6
wetan,6
rusa,6
menu,6
mem,6
kawasan,6
rendah,6
bumi,6
tnya,6
kerjasama,6
dirut,6
temu,6
kunjung,6
bahan,6
thumb,6
crossed,6
finger,6
and,6
tok,6
set,6
intan,6
soal,6
ringan,6
perak,6
makassar,6
kulon,6
sambikerep,6
responnya,6
cabut,6
medok,6
kaca,6
gojek,6
tanda,6
konsumen,6
signifikan,6
input,6
griya,6
dino,6
suara,6
full,6
tanggung,6
tegalsari,6
masjid,6
got,6
bunyi,6
eh,6
teknologi,6
induk,6
terap,6
hujan,6
app,6
suwun,6
katup,6
lupa,6
my,6
tuju,6
lantai,6
piring,6
komen,6
medium,6
persis,6
kencang,6
sejahtera,6
betul,6
mesti,6
simolangit,6
kategori,6
pusing,6
banding,6
banjir,6
tahu,6
pagar,6
nyata,6
tolong,6
manakarra,6
miliar,6
mamuju,6
gila,6
cenderung,6
satria,6
rekening,6
pikir,6
kacau,6
pakuwon,6
hadiah,6
walikota,6
konsisten,6
warna,6
benowo,6
download,6
prima,6
pondok,6
index,6
direksi,6
puas,6
sutisna,6
entis,6
lansung,6
job,6
good,6
kunci,6
pasir,6
suvey,6
ukur,6
sip,6
capek,6
off,6
matur,6
aidzin,6
mal,6
muncul,6
bla,6
aneh,6
pernah,6
alih,6
cabang,6
wali,6
alam,6
sebab,6
website,6
serta,6
gading,6
miskin,6
teknik,6
bank,6
tanya,6
bendera,6
rasa,6
sawah,6
permai,6
iv,6
korban,6
pantau,6
sana,6
lor,6
jempol,6
eri,6
risiko,6
malang,4
kalah,4
kalilom,4
pantas,4
mari,4
kartini,4
out,4
ngga,4
konten,4
showing,4
srikandi,4
globe,4
kupon,4
diupload,4
bsi,4
administrasi,4
contoh,4
olah,4
maksutnya,4
sat,4
demak,4
flushing,4
prosedur,4
lunas,4
